feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
DSADZYPPAGRNLW-XCVUNFFJSA-N,"""methyl (4R)-4-((5R,8S,9S...","""methyl (4R)-4-((5R,8S,9S,10R,13R,17R)-10,13-dimethyl-3,6-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoate""",403.27823,1.499,1.6897335233333308,0.0009308274636178427,metabolomics
IMOBSLOLPCWZKQ-ZETCQYMHSA-N,"Na,Na-Dimethylhistidine","Na,Na-Dimethylhistidine",184.10503,4.675,0.8158495966666699,0.0009308274636178427,metabolomics
NVXHLYRVFXNJGK-UHFFFAOYSA-N,tBuO-val-hexanoate (tert-...,tBuO-val-hexanoate (tert-butyl hexanoylvalinate),272.22003,1.75,1.215737390000001,0.0009319385846463076,metabolomics
ADFCQWZHKCXPAJ-GFCCVEGCSA-N,(S)-3-(4-hydroxyphenyl)ch...,(S)-3-(4-hydroxyphenyl)chroman-7-ol,265.08008,6.421,1.4792115066666651,0.0009388766844371764,metabolomics
WICAPTTWPBEVPW-UHFFFAOYSA-N,NCGC00380823-01!2-(14-met...,NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid [IIN-based: Match],404.31439,2.327,3.1171866400000017,0.0009411382818654784,metabolomics
RKWVKFFFOYCNSI-UHFFFAOYSA-N,NCGC00381162-01_C11H18O5_...,"NCGC00381162-01_C11H18O5_(4S,5S,10R)-4-Hydroxy-5-methoxy-10-methyl-2,7-oxecanedione",213.11046,1.724,0.9818026799999942,0.0009478539380504584,metabolomics
QPRQJOHKNJIMGN-OSFHQQMKSA-N,NCGC00384511-01_C45H72O12...,"NCGC00384511-01_C45H72O12_(1S,4E,5'R,6R,6'R,7S,8R,10S,12R,14S,16S,18E,20E,22S,25R,27R,28R,29S)-22-Ethyl-7,11,14,15-tetrahydroxy-6'-[(2S)-2-hydroxypropyl]-5',6,8,10,12,14,16,28,29-nonamethyl-5',6'-dihydro-3H,9H,13H-spiro[2,26-dioxabicyclo[23.3.1]nonacosa-4,18,20-triene-27,2'-pyran]-3,3',9,13(4'H)-tetrone",822.53345,2.649,1.0664119366666611,0.0009525387628451276,metabolomics
JFLIEFSWGNOPJJ-JTQLQIEISA-N,Phenylacetylglutamine,Phenylacetylglutamine,265.11743,4.896,-0.7335867699999987,0.0009813530590531297,metabolomics
IWMZZZKMYAZSLW-ROSFQWPFSA-N,"(3S,10R,13R,17R)-10,13-di... 2","(3S,10R,13R,17R)-10,13-dimethyl-17-((R)-6-methylheptan-2-yl)-2,3,4,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl 2-((4-ethyl-2-oxo-2H-chromen-7-yl)oxy)acetate",617.42542,2.117,1.38211802333333,0.000982405176642087,metabolomics
RWRDLPDLKQPQOW-UHFFFAOYSA-N,Pyrrolidine,Pyrrolidine,72.07133,11.291,-0.8869641699999988,0.0009959929240337317,metabolomics
UCAFTLMODRRASO-UHFFFAOYSA-N,NCGC00386071-01![3-methyl...,"NCGC00386071-01![3-methyl-1-[3-methyl-1-oxo-1-(2,3,4,5,6-pentahydroxyhexoxy)pentan-2-yl]oxy-1-oxopentan-2-yl] 2-hydroxy-3-methylpentanoate [IIN-based on: CCMSLIB00000846977]",542.31274,5.271,1.416355466666662,0.0010124538130321,metabolomics
RWQNBRDOKXIBIV-UHFFFAOYSA-N,Thymine,Thymine,127.04898,2.401,1.269151043333327,0.0010166208560089,metabolomics
YZQNFFLGIYEXMM-UHFFFAOYSA-N,Tetrameprozine,Tetrameprozine,328.18344,5.132,-7.175983926666669,0.0010205162495111,metabolomics
RKUNBYITZUJHSG-SPUOUPEWSA-N,"(1R,3S,5S)-8-methyl-8-aza...","(1R,3S,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate",307.19974,1.913,1.0931645000000003,0.0010560971485963,metabolomics
RCKDDMWGRIYLCN-WRHFRISWSA-N,"(2E,4E,8E)-7,13-dihydroxy...","(2E,4E,8E)-7,13-dihydroxy-4,8,12-trimethyltetradeca-2,4,8-trienoic acid",314.22891,4.047,0.9606554833333334,0.0010560971485963,metabolomics
BOWVQLFMWHZBEF-KTKRTIGZSA-N,Oleoyl Ethanolamide,Oleoyl Ethanolamide,326.30273,1.525,-1.109486860000004,0.0010596078825155,metabolomics
NWIBSHFKIJFRCO-WUDYKRTCSA-N,MITOMYCIN C,MITOMYCIN C,335.13379,7.453,3.112681953333329,0.0010644365818033,metabolomics
